timestamp_seconds,temperature_c,humidity_pct,pressure_hpa,gas_ohm,light_lux,color_temperature_k,red,green,blue,accel_x_mps2,accel_y_mps2,accel_z_mps2,mag_x_ut,mag_y_ut,mag_z_ut
0.011,36.47,20.87,1017.85,32332,267.42,3153,36,18,4,0.235,0.824,9.728,52.800,-31.500,-14.278
2.064,36.49,20.94,1017.85,6822,403.79,3131,36,17,4,0.118,0.863,9.689,52.200,-31.650,-14.520
4.121,36.51,21.00,1017.85,10328,386.75,3147,34,18,4,0.157,0.941,9.689,52.950,-32.250,-13.552
6.186,36.53,20.91,1017.86,14413,405.23,3108,34,18,4,0.118,0.941,9.807,52.350,-31.650,-13.794
8.245,36.55,20.76,1017.87,17533,383.09,3112,34,17,4,0.118,0.902,9.728,52.800,-31.650,-14.278
10.295,36.57,20.62,1017.87,20491,404.06,3149,34,18,4,0.118,0.902,9.767,52.500,-31.650,-13.794
12.349,36.59,20.51,1017.87,22840,405.12,3101,34,18,4,0.157,0.824,9.767,52.950,-31.950,-14.036
