timestamp_seconds,sensor_time_seconds,measurement,unit,value,raw
0.038,,unlabeled,,84.9,84.9
0.050,4079.810,distance_cm,cm,178.9,"4079.810,""cm"",178.9"
0.130,5994.388,velocity_cmps,cmps,3.0,"5994.388,""cmps"",3.0"
0.141,5994.447,distance_cm,cm,195.9,"5994.447,""cm"",195.9"
0.221,5994.479,velocity_cmps,cmps,-51.6,"5994.479,""cmps"",-51.6"
0.233,5994.539,distance_cm,cm,195.8,"5994.539,""cm"",195.8"
0.312,5994.571,velocity_cmps,cmps,6.1,"5994.571,""cmps"",6.1"
0.324,5994.630,distance_cm,cm,187.4,"5994.630,""cm"",187.4"
0.546,5994.804,velocity_cmps,cmps,48.5,"5994.804,""cmps"",48.5"
0.557,5994.863,distance_cm,cm,442.9,"5994.863,""cm"",442.9"
0.638,5994.896,velocity_cmps,cmps,12.1,"5994.896,""cmps"",12.1"
0.650,5994.955,distance_cm,cm,195.9,"5994.955,""cm"",195.9"
0.801,5995.059,velocity_cmps,cmps,-9.1,"5995.059,""cmps"",-9.1"
0.812,5995.118,distance_cm,cm,187.4,"5995.118,""cm"",187.4"
0.895,5995.151,velocity_cmps,cmps,-63.7,"5995.151,""cmps"",-63.7"
0.904,5995.210,distance_cm,cm,195.9,"5995.210,""cm"",195.9"
1.127,5995.385,velocity_cmps,cmps,33.4,"5995.385,""cmps"",33.4"
1.138,5995.444,distance_cm,cm,187.3,"5995.444,""cm"",187.3"
1.219,5995.477,velocity_cmps,cmps,36.4,"5995.477,""cmps"",36.4"
1.230,5995.536,distance_cm,cm,187.3,"5995.536,""cm"",187.3"
1.312,5995.569,velocity_cmps,cmps,-18.2,"5995.569,""cmps"",-18.2"
1.322,5995.628,distance_cm,cm,187.3,"5995.628,""cm"",187.3"
1.402,5995.661,velocity_cmps,cmps,15.2,"5995.661,""cmps"",15.2"
1.414,5995.720,distance_cm,cm,187.4,"5995.720,""cm"",187.4"
1.495,5995.753,velocity_cmps,cmps,15.2,"5995.753,""cmps"",15.2"
1.507,5995.812,distance_cm,cm,195.9,"5995.812,""cm"",195.9"
1.587,5995.845,velocity_cmps,cmps,-24.3,"5995.845,""cmps"",-24.3"
1.599,5995.904,distance_cm,cm,195.9,"5995.904,""cm"",195.9"
1.679,5995.937,velocity_cmps,cmps,12.1,"5995.937,""cmps"",12.1"
1.690,5995.996,distance_cm,cm,195.9,"5995.996,""cm"",195.9"
1.771,5996.030,velocity_cmps,cmps,27.3,"5996.030,""cmps"",27.3"
1.781,5996.089,distance_cm,cm,195.9,"5996.089,""cm"",195.9"
